compound_id	chemical_name	analysismode	mz	rt	BIOCHEMICAL
C000527	N-formylphenylalanine	RP_NEG	192.0666	2360	N-formylphenylalanine
C000528	N-oleoylserine	RP_NEG	368.2806	5600	N-oleoylserine
C000529	N-oleoyltaurine	RP_NEG	388.2527	5610	N-oleoyltaurine
C000530	N-palmitoylglycine	RP_NEG	312.2544	5580	N-palmitoylglycine
C000531	N-palmitoylserine	RP_NEG	342.265	5557	N-palmitoylserine
C000532	N-stearoylserine	RP_NEG	370.2963	5777	N-stearoylserine
C000533	N-stearoyltaurine	RP_NEG	390.2684	5782	N-stearoyltaurine
C000534	N1-Methyl-2-pyridone-5-carboxamide	RP_NEG	151.0513	1668	N1-Methyl-2-pyridone-5-carboxamide
C000535	N1-methylinosine	RP_NEG	149.0469	1874	N1-methylinosine
C000536	N2-methylguanosine	RP_NEG	296.1	1988	N2-methylguanosine
C000537	N4-acetylcytidine	RP_NEG	284.0888	2040	N4-acetylcytidine
C000538	N6-acetyllysine	RP_NEG	187.1088	1059	N6-acetyllysine
C000539	N6-carbamoylthreonyladenosine	RP_NEG	411.127	2164	N6-carbamoylthreonyladenosine
C000540	N6-methyladenosine	RP_NEG	148.0629	2593	N6-methyladenosine
C000541	nisinate (24:6n3)	RP_NEG	355.2643	5657	nisinate (24:6n3)
C000542	nonadecanoate (19:0)	RP_NEG	297.2799	6068	nonadecanoate (19:0)
C000543	O-sulfo-L-tyrosine	RP_NEG	260.0234	990	O-sulfo-L-tyrosine
C000544	octadecadienedioate (C18:2-DC)	RP_NEG	309.2071	4676	octadecadienedioate (C18:2-DC)
C000545	octadecanedioate (C18-DC)	RP_NEG	313.2384	5043	octadecanedioate (C18-DC)
C000546	octadecenedioate (C18:1-DC)	RP_NEG	311.2228	4875	octadecenedioate (C18:1-DC)
C000547	oleate/vaccenate (18:1)	RP_NEG	281.2486	5655	oleate/vaccenate (18:1)
C000548	oxalate (ethanedioate)	RP_NEG	88.988	603	oxalate (ethanedioate)
C000549	p-cresol sulfate	RP_NEG	187.0071	2890	p-cresol sulfate
C000550	palmitate (16:0)	RP_NEG	255.233	5618	palmitate (16:0)
C000551	palmitoleate (16:1n7)	RP_NEG	253.2173	5475	palmitoleate (16:1n7)
C000552	pantothenate	RP_NEG	218.1034	1498.7	pantothenate
C000553	pentadecanoate (15:0)	RP_NEG	241.2173	5521	pentadecanoate (15:0)
C000554	perfluorooctanesulfonic acid (PFOS)	RP_NEG	498.9302	5233	perfluorooctanesulfonic acid (PFOS)
C000555	perfluorooctanoate (PFOA)	RP_NEG	412.9664	5130	perfluorooctanoate (PFOA)
C000556	phenol sulfate	RP_NEG	172.9914	2156	phenol sulfate
C000557	phenylacetylglutamine	RP_NEG	263.1037	2330	phenylacetylglutamine
C000558	phenyllactate (PLA)	RP_NEG	165.0557	2208	phenyllactate (PLA)
C000559	phenylpyruvate	RP_NEG	163.0401	2515	phenylpyruvate
C000560	phytanate	RP_NEG	311.2956	5908	phytanate
C000561	pregnenediol disulfate (C21H34O8S2)	RP_NEG	238.0775	3868	pregnenediol disulfate (C21H34O8S2)
C000562	pregnenediol sulfate (C21H34O5S)	RP_NEG	397.2054	5000	pregnenediol sulfate (C21H34O5S)
C000563	pregnenolone sulfate	RP_NEG	395.1898	5100	pregnenolone sulfate
C000564	pseudouridine	RP_NEG	243.0623	1100	pseudouridine
C000565	pyridoxate	RP_NEG	182.0459	2185	pyridoxate
C000566	pyruvate	RP_NEG	87.0088	732.4	pyruvate
C000567	S-adenosylhomocysteine (SAH)	RP_NEG	383.1143	1832.4	S-adenosylhomocysteine (SAH)
C000568	S-methylcysteine	RP_NEG	134.0281	880	S-methylcysteine
C000569	sebacate (C10-DC)	RP_NEG	201.1132	1788	sebacate (C10-DC)
C000570	stearate (18:0)	RP_NEG	283.2643	5872	stearate (18:0)
C000571	stearidonate (18:4n3)	RP_NEG	275.2017	5395	stearidonate (18:4n3)
C000572	suberate (C8-DC)	RP_NEG	173.0819	804.3	suberate (C8-DC)
C000573	succinate	RP_NEG	117.0193	603	succinate
C000574	sulfate	RP_NEG	96.9601	616	sulfate
C000575	tartarate	RP_NEG	149.0092	615.3	tartarate
C000576	tartronate (hydroxymalonate)	RP_NEG	118.9986	610	tartronate (hydroxymalonate)
C000577	taurochenodeoxycholate	RP_NEG	498.2895	5250	taurochenodeoxycholate
C000578	taurocholate	RP_NEG	514.2844	5150	taurocholate
C000579	taurocholenate sulfate	RP_NEG	279.6142	4750	taurocholenate sulfate
C000580	taurohyocholate	RP_NEG	514.2844	5000	taurohyocholate
C000581	taurolithocholate 3-sulfate	RP_NEG	280.6221	5027	taurolithocholate 3-sulfate
C000582	tauroursodeoxycholate	RP_NEG	498.2895	5025	tauroursodeoxycholate
C000583	tetradecanedioate (C14-DC)	RP_NEG	257.1758	4000	tetradecanedioate (C14-DC)
C000584	thymol sulfate	RP_NEG	229.054	4410	thymol sulfate
C000585	thyroxine	RP_NEG	775.6794	4808	thyroxine
C000586	tyramine O-sulfate	RP_NEG	216.0336	1565	tyramine O-sulfate
C000587	urate	RP_NEG	167.0211	757.1	urate
C000588	uridine	RP_NEG	243.0623	1457.6	uridine
C000589	valylglutamine	RP_NEG	244.1303	1484	valylglutamine
C000590	valylglycine	RP_NEG	173.0932	1506	valylglycine
C000591	vanillactate	RP_NEG	211.0612	1625	vanillactate
C000592	vanillylmandelate (VMA)	RP_NEG	197.0456	941	vanillylmandelate (VMA)
C000593	xanthurenate	RP_NEG	204.0302	1476	xanthurenate
C000594	1-linoleoyl-GPA (18:2)	HILIC_NEG	433.2361	1441	1-linoleoyl-GPA (18:2)
C000595	1-oleoyl-GPA (18:1)	HILIC_NEG	435.2517	1433	1-oleoyl-GPA (18:1)
C000596	2-hydroxybutyrate/2-hydroxyisobutyrate	HILIC_NEG	103.0401	1258	2-hydroxybutyrate/2-hydroxyisobutyrate
C000597	2-isopropylmalate	HILIC_NEG	175.0612	2605	2-isopropylmalate
C000598	2,3-dihydroxyisovalerate	HILIC_NEG	133.0506	1050	2,3-dihydroxyisovalerate
C000599	3-hydroxy-2-ethylpropionate	HILIC_NEG	117.0557	1443.3	3-hydroxy-2-ethylpropionate
C000600	3-hydroxy-3-methylglutarate	HILIC_NEG	161.0456	2850	3-hydroxy-3-methylglutarate
C000601	3-hydroxybutyrate (BHBA)	HILIC_NEG	103.0401	1444	3-hydroxybutyrate (BHBA)
C000602	3-hydroxyisobutyrate	HILIC_NEG	103.0401	1619	3-hydroxyisobutyrate
C000603	3-hydroxysebacate	HILIC_NEG	217.1081	2411	3-hydroxysebacate
C000604	3-methylglutaconate	HILIC_NEG	99.0452	2700	3-methylglutaconate
C000605	4-hydroxy-2-oxoglutaric acid	HILIC_NEG	161.0092	3073	4-hydroxy-2-oxoglutaric acid
C000606	allantoin	HILIC_NEG	157.0367	1672	allantoin
C000607	alpha-hydroxyisovalerate	HILIC_NEG	117.0557	1052	alpha-hydroxyisovalerate
C000608	alpha-ketobutyrate	HILIC_NEG	101.0244	940	alpha-ketobutyrate
C000609	alpha-ketoglutaramate	HILIC_NEG	144.0302	1916	alpha-ketoglutaramate
C000610	alpha-ketoglutarate	HILIC_NEG	145.0143	2700	alpha-ketoglutarate
C000611	arabinose	HILIC_NEG	195.051	1804.5	arabinose
C000612	arabitol/xylitol	HILIC_NEG	151.0612	1932.4	arabitol/xylitol
C000613	arabonate/xylonate	HILIC_NEG	165.0405	2700	arabonate/xylonate
C000614	dihydroorotate	HILIC_NEG	157.0255	1910	dihydroorotate
C000615	erythritol	HILIC_NEG	167.0561	1491	erythritol
C000616	erythronate	HILIC_NEG	135.0299	2186	erythronate
C000617	ethylmalonate	HILIC_NEG	131.035	2785	ethylmalonate
C000618	fructose	HILIC_NEG	225.0616	2065	fructose
C000619	fumarate	HILIC_NEG	115.0037	3084	fumarate
C000620	galactonate	HILIC_NEG	195.051	3085	galactonate
C000621	gentisate	HILIC_NEG	153.0193	905	gentisate
C000622	gluconate	HILIC_NEG	195.051	2922	gluconate
C000623	glucose	HILIC_NEG	179.0561	2342	glucose
C000624	glucuronate	HILIC_NEG	193.0354	3233.3	glucuronate
C000625	glutarate (C5-DC)	HILIC_NEG	131.035	2900	glutarate (C5-DC)
C000626	glycerate	HILIC_NEG	105.0193	2070.4	glycerate
C000627	glycerophosphoglycerol	HILIC_NEG	245.0432	2430	glycerophosphoglycerol
C000628	glycerophosphorylcholine (GPC)	HILIC_NEG	302.101	3003.1	glycerophosphorylcholine (GPC)
C000629	glycolate (hydroxyacetate)	HILIC_NEG	159.0107	1790.4	glycolate (hydroxyacetate)
C000630	guanidinoacetate	HILIC_NEG	116.0466	2884	guanidinoacetate
C000631	gulonate	HILIC_NEG	195.051	2750	gulonate
C000632	heptenedioate (C7:1-DC)	HILIC_NEG	157.0506	2816	heptenedioate (C7:1-DC)
C000633	isocitric lactone	HILIC_NEG	173.0092	2970	isocitric lactone
C000634	lactate	HILIC_NEG	89.0244	1468.8	lactate
C000635	maleate	HILIC_NEG	115.0037	2640	maleate
C000636	mannitol/sorbitol	HILIC_NEG	181.0718	2320	mannitol/sorbitol
C000637	mannose	HILIC_NEG	225.0616	2200	mannose
C000638	methylsuccinate	HILIC_NEG	131.035	2800	methylsuccinate
C000639	myo-inositol	HILIC_NEG	225.0616	3506.3	myo-inositol
C000640	N-acetylalanine	HILIC_NEG	130.051	1564.8	N-acetylalanine
C000641	N-acetylglutamine	HILIC_NEG	187.0724	2140	N-acetylglutamine
C000642	N-acetylneuraminate	HILIC_NEG	308.0987	3072.6	N-acetylneuraminate
C000643	N-acetylserine	HILIC_NEG	146.0459	2000	N-acetylserine
C000644	orotate	HILIC_NEG	155.0098	1638.1	orotate
C000645	orotidine	HILIC_NEG	287.0521	2250	orotidine
C000646	quinate	HILIC_NEG	191.0561	2432.9	quinate
C000647	ribitol	HILIC_NEG	151.0612	1789.6	ribitol
C000648	ribonate	HILIC_NEG	165.0405	2425	ribonate
C000649	ribulonate/xylulonate	HILIC_NEG	165.0405	2350	ribulonate/xylulonate
C000650	salicylate	HILIC_NEG	137.0242	802	salicylate
C000651	succinimide	HILIC_NEG	116.0353	2155	succinimide
C000652	threonate	HILIC_NEG	135.0299	2384	threonate
C000653	trans-urocanate	HILIC_NEG	137.0357	1882.5	trans-urocanate
C000654	uracil	HILIC_NEG	111.02	1089.7	uracil
C000655	xanthine	HILIC_NEG	151.0262	2023	xanthine
C000656	xylose	HILIC_NEG	195.051	1727	xylose
