compound_id	BIOCHEMICAL	PATHWAY SORTORDER	SUPER_PATHWAY	SUB_PATHWAY	COMP ID	PLATFORM	CHEMICAL ID	RI	MASS	PUBCHEM	CAS	KEGG	HMDB
CPD000339	ranitidine	5429	Xenobiotics	Drug - Gastrointestil	38595	LC/MS Pos Early	100002735	2910	315.1485	3001055	66357-59-3	D00422	HMDB01930
CPD000340	ranitidine N-oxide*	5430	Xenobiotics	Drug - Gastrointestil	62485	LC/MS Pos Early	100020810	2926	331.1435	3033888			
CPD000341	S-1-pyrroline-5-carboxylate	60	Amino Acid	Glutamate Metabolism	42370	LC/MS Pos Early	35	1528	114.055	1196	2906-39-0	C04322	HMDB01301
CPD000342	S-allylcysteine	4851	Xenobiotics	Food Component/Plant	43239	LC/MS Pos Early	100004509	2690	162.0583	98280	21593-77-1		HMDB34323
CPD000343	S-carboxyethylcysteine	416	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	64177	LC/MS Pos Early	100021530	1785	194.0482		4033-46-9		
CPD000344	S-methylcysteine sulfoxide	414	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	43378	LC/MS Pos Early	100002927	900	152.0376	82142	6853-87-8		HMDB29432
CPD000345	S-methylmethionine	394	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	38127	LC/MS Pos Early	100002183	2555	164.074	458	582174	C05319	HMDB38670
CPD000346	sarcosine	4	Amino Acid	Glycine, Serine and Threonine Metabolism	1516	LC/MS Pos Early	1023	1280	90.055	1088	107-97-1	C00213	HMDB00271
CPD000347	serine	9	Amino Acid	Glycine, Serine and Threonine Metabolism	1648	LC/MS Pos Early	503	1239	106.0499	5951	56-45-1	C00065	HMDB00187
CPD000348	serotonin	272	Amino Acid	Tryptophan Metabolism	2342	LC/MS Pos Early	504	2550	177.1022	5202	153-98-0	C00780	HMDB00259
CPD000349	spermidine	500	Amino Acid	Polyamine Metabolism	485	LC/MS Pos Early	50	3355	146.1652	1102	124-20-9	C00315	HMDB01257
CPD000350	spermine	507	Amino Acid	Polyamine Metabolism	603	LC/MS Pos Early	507	3350	203.223	1103	71-44-3	C00750	HMDB01256
CPD000351	stachydrine	4870	Xenobiotics	Food Component/Plant	34384	LC/MS Pos Early	100001296	1440	144.1019	115244	4136-37-2	C10172	HMDB04827
CPD000352	suberoylcarnitine (C8-DC)	1833	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)	52990	LC/MS Pos Early	100006627	2964	318.1911				
CPD000353	succinylcarnitine (C4-DC)	1382	Energy	TCA Cycle	37058	LC/MS Pos Early	100001948	2291	262.1285	71464481	256928-74-2		HMDB61717
CPD000354	tamsulosin	5349	Xenobiotics	Drug - Antineoplastic	64100	LC/MS Pos Early	100020906	3344	409.1792	129211	106133-20-4	C07124,D08560	HMDB14844
CPD000355	taurine	427	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	2125	LC/MS Pos Early	512	660	126.022	1123	107-35-7	C00245	HMDB00251
CPD000356	theobromine	4432	Xenobiotics	Xanthine Metabolism	18392	LC/MS Pos Early	100000445	1600	181.072	5429	83-67-0	C07480	HMDB02825
CPD000357	thioproline	5858	Xenobiotics	Chemical	53231	LC/MS Pos Early	100009232	1250	134.027	93176	34592-47-4		
CPD000358	threonine	16	Amino Acid	Glycine, Serine and Threonine Metabolism	1284	LC/MS Pos Early	564	1514	120.0655	6288	72-19-5	C00188	HMDB00167
CPD000359	tiglyl carnitine (C5)	361	Amino Acid	Leucine, Isoleucine and Valine Metabolism	35428	LC/MS Pos Early	100001597	2962	244.1543	22833596	64191-86-2		HMDB02366
CPD000360	topiramate	5489	Xenobiotics	Drug - Neurological	2772	LC/MS Pos Early	1388	3004	357.1326	5284627	97240-79-4	C07502	HMDB05034
CPD000361	tramadol	5183	Xenobiotics	Drug - Algesics, Anesthetics	53241	LC/MS Pos Early	100006381	3288	264.1958	33741	27203-92-5	C07153	HMDB14339
CPD000362	hydroxyproline	468	Amino Acid	Urea cycle; Arginine and Proline Metabolism	32306	LC/MS Pos Early	1001	1064	132.0655	5810	51-35-4	C01157	HMDB00725
CPD000363	triamterene	5378	Xenobiotics	Drug - Cardiovascular	42593	LC/MS Pos Early	100003968	3164	254.1149	5546	396-01-0	D00386	HMDB01940
CPD000364	trigonelline (N'-methylnicotite)	4180	Cofactors and Vitamins	Nicotite and Nicotimide Metabolism	32401	LC/MS Pos Early	100001092	1388	138.055	5570	535-83-1	C01004	HMDB00875
CPD000365	trimethoprim	5266	Xenobiotics	Drug - Antibiotic	64075	LC/MS Pos Early	100020868	3021	291.1452	5578	738-70-5	C01965,D00145	HMDB14583
CPD000366	trimethylamine N-oxide	2147	Lipid	Phospholipid Metabolism	40406	LC/MS Pos Early	100003397	2100	76.0757	1145	1184-78-7	C01104	HMDB00925
CPD000367	tryptophan	241	Amino Acid	Tryptophan Metabolism	54	LC/MS Pos Early	565	2986	205.0972	6305	73-22-3	C00078	HMDB00929
CPD000368	tryptophan betaine	250	Amino Acid	Tryptophan Metabolism	37097	LC/MS Pos Early	100001743	2673	247.1441	442106	20671-76-5	C09213	HMDB61115
CPD000369	tyrosine	156	Amino Acid	Tyrosine Metabolism	1299	LC/MS Pos Early	815	2430	182.0812	6057	60-18-4	C00082	HMDB00158
CPD000370	urea	441	Amino Acid	Urea cycle; Arginine and Proline Metabolism	1670	LC/MS Pos Early	533	700	121.072	1176	57-13-6	C00086	HMDB00294
CPD000371	xanthurete	263	Amino Acid	Tryptophan Metabolism	15679	LC/MS Pos Early	100000015	2236	206.0448	5699	59-007	C02470	HMDB00881
CPD000372	zolpidem	5569	Xenobiotics	Drug - Psychoactive	62976	LC/MS Pos Early	100004174	3346	308.1757		82626-48-0		
CPD000373	X - 11795				33140	LC/MS Pos Early							
CPD000374	X - 12096				47686	LC/MS Pos Early							
CPD000375	X - 12100				47687	LC/MS Pos Early							
CPD000376	X - 12101				47642	LC/MS Pos Early							
CPD000377	X - 12112				47690	LC/MS Pos Early							
CPD000378	X - 12117				47695	LC/MS Pos Early							
CPD000379	X - 12125				47643	LC/MS Pos Early							
CPD000380	X - 12126				47701	LC/MS Pos Early							
CPD000381	X - 12127				47702	LC/MS Pos Early							
CPD000382	X - 12199				47706	LC/MS Pos Early							
CPD000383	X - 12283				47708	LC/MS Pos Early							
CPD000384	X - 12462				46620	LC/MS Pos Early							
CPD000385	X - 12680				47437	LC/MS Pos Early							
CPD000386	X - 12689				47719	LC/MS Pos Early							
CPD000387	X - 12753				47723	LC/MS Pos Early							
CPD000388	X - 12798				46624	LC/MS Pos Early							
CPD000389	X - 13507				47439	LC/MS Pos Early							
CPD000390	X - 13684				47790	LC/MS Pos Early							
CPD000391	X - 14056				46632	LC/MS Pos Early							
CPD000392	X - 15461				46283	LC/MS Pos Early							
CPD000393	X - 15666				47800	LC/MS Pos Early							
CPD000394	X - 16397				47802	LC/MS Pos Early							
CPD000395	X - 16580				47804	LC/MS Pos Early							
CPD000396	X - 17301				47808	LC/MS Pos Early							
CPD000397	X - 17306				40104	LC/MS Pos Early							
CPD000398	X - 17346				47824	LC/MS Pos Early							
CPD000399	X - 21283				46285	LC/MS Pos Early							
CPD000400	X - 22162				47417	LC/MS Pos Early							
CPD000401	X - 23581				49457	LC/MS Pos Early							
CPD000402	X - 23583				49459	LC/MS Pos Early							
CPD000403	X - 23587				49463	LC/MS Pos Early							
CPD000404	X - 23593				49469	LC/MS Pos Early							
CPD000405	X - 23636				49512	LC/MS Pos Early							
CPD000406	X - 23639				49515	LC/MS Pos Early							
CPD000407	X - 23644				49521	LC/MS Pos Early							
CPD000408	X - 23648				49525	LC/MS Pos Early							
CPD000409	X - 23654				49531	LC/MS Pos Early							
CPD000410	X - 23655				49532	LC/MS Pos Early							
CPD000411	X - 23659				49536	LC/MS Pos Early							
CPD000412	X - 23665				49542	LC/MS Pos Early							
CPD000413	X - 23739				49637	LC/MS Pos Early							
CPD000414	X - 23780				49679	LC/MS Pos Early							
CPD000415	X - 23997				52025	LC/MS Pos Early							
CPD000416	X - 24243				52286	LC/MS Pos Early							
CPD000417	X - 24410				52639	LC/MS Pos Early							
CPD000418	X - 24411				52640	LC/MS Pos Early							
CPD000419	X - 24422				52636	LC/MS Pos Early							
CPD000420	X - 24425				52655	LC/MS Pos Early							
CPD000421	X - 24431				52661	LC/MS Pos Early							
CPD000422	X - 24456				52773	LC/MS Pos Early							
CPD000423	X - 24457				52774	LC/MS Pos Early							
CPD000424	X - 24462				52779	LC/MS Pos Early							
CPD000425	X - 24473				52790	LC/MS Pos Early							
CPD000426	X - 24474				52791	LC/MS Pos Early							
CPD000427	X - 24475				52792	LC/MS Pos Early							
CPD000428	X - 24699				53127	LC/MS Pos Early							
CPD000429	X - 24728				53157	LC/MS Pos Early							
CPD000430	X - 24736				53172	LC/MS Pos Early							
CPD000431	X - 24764				54702	LC/MS Pos Early							
CPD000432	X - 24801				54829	LC/MS Pos Early							
CPD000433	X - 24811				54839	LC/MS Pos Early							
CPD000434	X - 24812				54840	LC/MS Pos Early							
CPD000435	X - 24970				57754	LC/MS Pos Early							
CPD000436	X - 24973				57813	LC/MS Pos Early							
CPD000437	X - 25109				61682	LC/MS Pos Early							
CPD000438	X - 25172				62151	LC/MS Pos Early							
CPD000439	X - 25217				62403	LC/MS Pos Early							
CPD000440	X - 25265				62494	LC/MS Pos Early							
CPD000441	X - 25267				62496	LC/MS Pos Early							
CPD000442	X - 25271				62500	LC/MS Pos Early							
CPD000443	X - 25343				62636	LC/MS Pos Early							
CPD000444	X - 25417				62714	LC/MS Pos Early							
CPD000445	X - 25419				62716	LC/MS Pos Early							
CPD000446	X - 25420				62717	LC/MS Pos Early							
CPD000447	X - 25422				62719	LC/MS Pos Early							
CPD000448	X - 25423				62720	LC/MS Pos Early							
CPD000449	X - 25519				62963	LC/MS Pos Early							
CPD000450	X - 25520				62964	LC/MS Pos Early							
CPD000451	X - 25790				63560	LC/MS Pos Early							
CPD000452	X - 25810				63592	LC/MS Pos Early							
CPD000453	X - 25828				63634	LC/MS Pos Early							
CPD000454	X - 25855				63721	LC/MS Pos Early							
CPD000455	X - 25948				63899	LC/MS Pos Early							
CPD000456	X - 25951				63902	LC/MS Pos Early							
CPD000457	X - 25952				63903	LC/MS Pos Early							
CPD000458	X - 25957				63908	LC/MS Pos Early							
CPD000459	X - 26008				64007	LC/MS Pos Early							
CPD000460	X - 26097				64372	LC/MS Pos Early							
CPD000461	1,2-dilinoleoyl-GPC (18:2/18:2)	2259	Lipid	Phosphatidylcholine (PC)	52603	LC/MS Pos Late	100008903	2100	782.5694	5288075	998-06-1		HMDB08138
CPD000462	1,2-dilinoleoyl-GPE (18:2/18:2)*	2350	Lipid	Phosphatidylethanolamine (PE)	53174	LC/MS Pos Late	100009217	2150	740.5225	9546812			HMDB09093
CPD000463	1,2-dipalmitoyl-GPC (16:0/16:0)	2181	Lipid	Phosphatidylcholine (PC)	19130	LC/MS Pos Late	100000657	2450	734.5694	452110	63-89-8		HMDB00564
CPD000464	1-(1-enyl-oleoyl)-GPE (P-18:1)*	2727	Lipid	Lysoplasmalogen	44621	LC/MS Pos Late	100005372	1566	464.3136				
CPD000465	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	2704	Lipid	Plasmalogen	52689	LC/MS Pos Late	100009014	2200	766.5745				HMDB11220
CPD000466	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	2696	Lipid	Plasmalogen	52673	LC/MS Pos Late	100009002	2300	724.5276				HMDB11352
CPD000467	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	2705	Lipid	Plasmalogen	52682	LC/MS Pos Late	100009009	2300	742.5745				HMDB11211
CPD000468	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	2693	Lipid	Plasmalogen	52677	LC/MS Pos Late	100009069	2400	700.5276				HMDB11343
CPD000469	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	2698	Lipid	Plasmalogen	52478	LC/MS Pos Late	100009007	2550	744.5902				
CPD000470	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	2692	Lipid	Plasmalogen	52477	LC/MS Pos Late	100009005	2750	702.5432				HMDB11342
CPD000471	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	2695	Lipid	Plasmalogen	52713	LC/MS Pos Late	100009160	2218	716.5589				HMDB11207
CPD000472	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	2694	Lipid	Plasmalogen	52716	LC/MS Pos Late	100009162	2550	718.5745	11146967			HMDB11206
CPD000473	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	2724	Lipid	Lysoplasmalogen	52474	LC/MS Pos Late	100002875	1547	480.3449	10917802			HMDB10407
CPD000474	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	2725	Lipid	Lysoplasmalogen	39270	LC/MS Pos Late	100003000	1558	438.2979				
CPD000475	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	2709	Lipid	Plasmalogen	52475	LC/MS Pos Late	100008999	2550	752.5589	9547058			HMDB05779
CPD000476	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	2701	Lipid	Plasmalogen	52748	LC/MS Pos Late	100009225	2750	728.5589				HMDB11376
CPD000477	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	2700	Lipid	Plasmalogen	52614	LC/MS Pos Late	100008919	3100	730.5745		144371-68-6		HMDB11375
CPD000478	1-(1-enyl-stearoyl)-GPE (P-18:0)*	2729	Lipid	Lysoplasmalogen	39271	LC/MS Pos Late	100003001	1649	466.3292				
CPD000479	1-arachidonoyl-GPC* (20:4)*	2527	Lipid	Lysophospholipid	33228	LC/MS Pos Late	100001551	1460	544.3398			C05208	HMDB10395
CPD000480	1-arachidonoyl-GPE (20:4n6)*	2578	Lipid	Lysophospholipid	35186	LC/MS Pos Late	100001571	1470	502.2928	42607465			HMDB11517
CPD000481	1-lignoceroyl-GPC (24:0)	2541	Lipid	Lysophospholipid	49617	LC/MS Pos Late	100002873	1907	608.465		325171-59-3		HMDB10405
CPD000482	1-linolenoyl-GPC (18:3)*	2511	Lipid	Lysophospholipid	45951	LC/MS Pos Late	100005350	1410	518.3241				HMDB10388
CPD000483	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	2264	Lipid	Phosphatidylcholine (PC)	52710	LC/MS Pos Late	100009131	2000	806.5694				HMDB08147
CPD000484	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	2260	Lipid	Phosphatidylcholine (PC)	53176	LC/MS Pos Late	100009343	1939	780.5538				HMDB08141
CPD000485	1-linoleoyl-GPE (18:2)*	2565	Lipid	Lysophospholipid	36600	LC/MS Pos Late	100001570	1482	478.2928	52925130			HMDB11507
CPD000486	1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	2169	Lipid	Phosphatidylcholine (PC)	53195	LC/MS Pos Late	100009139	1950	754.5381				HMDB07883
CPD000487	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	2165	Lipid	Phosphatidylcholine (PC)	19258	LC/MS Pos Late	100000672	2250	706.5381	129657	69525-80-0		HMDB07869
CPD000488	1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*	2345	Lipid	Phosphatidylethanolamine (PE)	55041	LC/MS Pos Late	100009219	2200	766.5381				HMDB09069
CPD000489	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	2258	Lipid	Phosphatidylcholine (PC)	52697	LC/MS Pos Late	100009130	2100	832.5851				HMDB08123
CPD000490	1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	2342	Lipid	Phosphatidylethanolamine (PE)	52687	LC/MS Pos Late	100009078	2270	742.5381	9546753			HMDB05349
CPD000491	1-oleoyl-GPC (18:1)	2506	Lipid	Lysophospholipid	48258	LC/MS Pos Late	100001272	1540	522.3554	16081932	19420-56-5		HMDB02815
CPD000492	1-oleoyl-GPE (18:1)	2563	Lipid	Lysophospholipid	35628	LC/MS Pos Late	100001569	1554	480.3085	9547071	89576-29-4		HMDB11506
CPD000493	1-oleoyl-GPS (18:1)	2595	Lipid	Lysophospholipid	19260	LC/MS Pos Late	100000630	1555	524.2983	9547099	326589-90-6		HMDB61694
CPD000494	1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*	2212	Lipid	Phosphatidylcholine (PC)	53180	LC/MS Pos Late	100009345	1900	754.5381				HMDB08008
CPD000495	1-palmitoleoyl-GPC* (16:1)*	2497	Lipid	Lysophospholipid	33230	LC/MS Pos Late	100001511	1450	494.3241	24779461			HMDB10383
CPD000496	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	2199	Lipid	Phosphatidylcholine (PC)	52462	LC/MS Pos Late	100008914	2200	782.5694	10747814	35418-58-7		HMDB07982
CPD000497	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	2314	Lipid	Phosphatidylethanolamine (PE)	52464	LC/MS Pos Late	100008990	2250	740.5225	9546800			HMDB05323
CPD000498	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	2436	Lipid	Phosphatidylinositol (PI)	52467	LC/MS Pos Late	100008993	2567	876.5597				HMDB09789
CPD000499	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	2205	Lipid	Phosphatidylcholine (PC)	52610	LC/MS Pos Late	100008915	2055	806.5694	6441886	59403-54-2		HMDB07991
CPD000500	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	2316	Lipid	Phosphatidylethanolamine (PE)	52465	LC/MS Pos Late	100008991	2160	764.5225	9546799			HMDB05324
CPD000501	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	2188	Lipid	Phosphatidylcholine (PC)	42446	LC/MS Pos Late	1537	2160	758.5694	5287971	40811-94-7		HMDB07973
CPD000502	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	2308	Lipid	Phosphatidylethanolamine (PE)	42449	LC/MS Pos Late	100001870	2350	716.5225	9546747			HMDB05322
CPD000503	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	2185	Lipid	Phosphatidylcholine (PC)	52461	LC/MS Pos Late	1539	2450	760.5851	6436017	26853-31-6;26853-31-6		HMDB07972
CPD000504	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	2306	Lipid	Phosphatidylethanolamine (PE)	19263	LC/MS Pos Late	1526	2600	718.5381	5283496	26662-94-2		HMDB05320
CPD000505	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	2182	Lipid	Phosphatidylcholine (PC)	52470	LC/MS Pos Late	100008984	2200	732.5538				
CPD000506	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	2183	Lipid	Phosphatidylcholine (PC)	52616	LC/MS Pos Late	100008921	2750	762.6007		59403-51-9		HMDB07970
CPD000507	1-palmitoyl-GPC (16:0)	2495	Lipid	Lysophospholipid	33955	LC/MS Pos Late	100001263	1525	496.3398	86554	17364-16-8		HMDB10382
CPD000508	1-palmitoyl-GPE (16:0)	2554	Lipid	Lysophospholipid	35631	LC/MS Pos Late	100001567	1544	454.2928	9547069	53862-35-4		HMDB11503
CPD000509	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	2233	Lipid	Phosphatidylcholine (PC)	42450	LC/MS Pos Late	100001869	2400	810.6007	16219824	35418-59-8		HMDB08048
CPD000510	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	2336	Lipid	Phosphatidylethanolamine (PE)	52447	LC/MS Pos Late	100008977	2475	768.5538	5289133			HMDB09003
CPD000511	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	2452	Lipid	Phosphatidylinositol (PI)	52449	LC/MS Pos Late	100000616	3000	904.591		383907-33-3		HMDB09815
CPD000512	1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)	2406	Lipid	Phosphatidylserine (PS)	52235	LC/MS Pos Late	100001872	2565	812.5436				HMDB12383
CPD000513	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	2239	Lipid	Phosphatidylcholine (PC)	52611	LC/MS Pos Late	100008916	2300	834.6013		59403-52-0		
CPD000514	1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	2340	Lipid	Phosphatidylethanolamine (PE)	52466	LC/MS Pos Late	100008992	2375	792.5538	9546798			HMDB05334
CPD000515	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	2225	Lipid	Phosphatidylcholine (PC)	52452	LC/MS Pos Late	100008980	2450	786.6007				
CPD000516	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	2327	Lipid	Phosphatidylethanolamine (PE)	52446	LC/MS Pos Late	100008976	2575	744.5538	9546749			HMDB08994
CPD000517	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	2440	Lipid	Phosphatidylinositol (PI)	52468	LC/MS Pos Late	100008994	3185	880.591				HMDB09809
CPD000518	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	2222	Lipid	Phosphatidylcholine (PC)	52438	LC/MS Pos Late	100008904	2644	788.6164		56421-10-4		HMDB08038
CPD000519	1-stearoyl-2-oleoyl-GPE (18:0/18:1)	2323	Lipid	Phosphatidylethanolamine (PE)	42448	LC/MS Pos Late	100001856	2950	746.5694				HMDB08993
CPD000520	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	2403	Lipid	Phosphatidylserine (PS)	19265	LC/MS Pos Late	100000639	3000	790.5593	9547087			HMDB10163
CPD000521	1-stearoyl-GPC (18:0)	2504	Lipid	Lysophospholipid	33961	LC/MS Pos Late	100001271	1606	524.3711	497299	19420-57-6		HMDB10384
CPD000522	1-stearoyl-GPE (18:0)	2561	Lipid	Lysophospholipid	42398	LC/MS Pos Late	100001461	1626	482.3241	9547068	69747-55-3		HMDB11130
CPD000523	10-hydroxywarfarin	5374	Xenobiotics	Drug - Cardiovascular	62970	LC/MS Pos Late	100020811	911	325.1071				
CPD000524	3-hydroxydecanoylcarnitine	1846	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	63358	LC/MS Pos Late	100021141	961	332.2432				HMDB61636
CPD000525	3-hydroxyoleoylcarnitine	1848	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	61840	LC/MS Pos Late	100019801	1406	442.3527				
CPD000526	4-cholesten-3-one	3102	Lipid	Sterol	38125	LC/MS Pos Late	100002227	2520	385.3465	91477	601-57-0	C00599	HMDB00921
CPD000527	4-oxo-retinoic acid	4282	Cofactors and Vitamins	Vitamin A Metabolism	39760	LC/MS Pos Late	100002825	1298	315.1955	6437063	38030-57-8		HMDB06285
CPD000528	5-dodecenoylcarnitine (C12:1)	1803	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)	61769	LC/MS Pos Late	100016069	1135	342.2639				HMDB13326
CPD000529	7-hydroxywarfarin	5373	Xenobiotics	Drug - Cardiovascular	62972	LC/MS Pos Late	100020813	957	325.1071				
CPD000530	alpha-tocopherol	4215	Cofactors and Vitamins	Tocopherol Metabolism	1561	LC/MS Pos Late	1105	2522	430.3782	14985	59-02-9;10191-41-0	C02477	HMDB01893
CPD000531	arachidonoylcarnitine (C20:4)	1815	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)	57518	LC/MS Pos Late	100015837	1353	448.3422				
CPD000532	arachidonoylcholine	1869	Lipid	Fatty Acid Metabolism (Acyl Choline)	53261	LC/MS Pos Late	100009332	1390	390.3367				
CPD000533	arachidoylcarnitine (C20)*	1791	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)	57513	LC/MS Pos Late	100015833	1512	456.4047				HMDB06460
CPD000534	behenoyl dihydrosphingomyelin (d18:0/22:0)*	2983	Lipid	Dihydrosphingomyelins	57331	LC/MS Pos Late	100009026	3300	789.6844				HMDB12091
CPD000535	behenoyl sphingomyelin (d18:1/22:0)*	2989	Lipid	Sphingomyelins	48492	LC/MS Pos Late	100006294	3250	787.6688				HMDB12103
CPD000536	behenoylcarnitine (C22)*	1792	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)	57514	LC/MS Pos Late	100015832	1561	484.436				
CPD000537	bezepril	5397	Xenobiotics	Drug - Cardiovascular	64103	LC/MS Pos Late	100020683	922	425.2071	5362124		C06843,D07499	HMDB14682
CPD000538	beta-cryptoxanthin	4289	Cofactors and Vitamins	Vitamin A Metabolism	57591	LC/MS Pos Late	100001977	2560	552.4326	6384256	472-70-8		HMDB33844
CPD000539	bilirubin (E,E)*	4263	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	32586	LC/MS Pos Late	100001950	1045	585.2708	5315454			
CPD000540	bilirubin (E,Z or Z,E)*	4264	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	47886	LC/MS Pos Late	100001951	1265	585.2708	5799469			HMDB00488
CPD000541	bilirubin	4262	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	43807	LC/MS Pos Late	1090	1840	585.2708	5280352	635-65-4	C00486	HMDB00054
CPD000542	biliverdin	4265	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	2137	LC/MS Pos Late	250	1016	583.2551	5353439	55482-27-4;55482-27-4	C00500	HMDB01008
CPD000543	candesartan	5393	Xenobiotics	Drug - Cardiovascular	54749	LC/MS Pos Late	100006187	934	441.167	2541	139481-59-7	D00522,C07468	HMDB14934
CPD000544	carbamazepine	5500	Xenobiotics	Drug - Neurological	37033	LC/MS Pos Late	100001933	880	237.1022	2554	298-46-4	D00252	HMDB14704
CPD000545	carbamazepine 10,11-epoxide	5501	Xenobiotics	Drug - Neurological	37020	LC/MS Pos Late	100002321	740	253.0972	2555	36507-30-9	C07496	HMDB60658
CPD000546	carotene diol (1)	4285	Cofactors and Vitamins	Vitamin A Metabolism	57635	LC/MS Pos Late	100015966	1720	568.4276				
CPD000547	carotene diol (2)	4286	Cofactors and Vitamins	Vitamin A Metabolism	57636	LC/MS Pos Late	100015967	1904	568.4279				
CPD000548	carotene diol (3)	4287	Cofactors and Vitamins	Vitamin A Metabolism	57637	LC/MS Pos Late	100015968	1948	568.4279				
CPD000549	ceramide (d16:1/24:1, d18:1/22:1)*	2935	Lipid	Ceramides	57437	LC/MS Pos Late	100015727	3850	620.5976				
CPD000550	ceramide (d18:1/14:0, d16:1/16:0)*	2931	Lipid	Ceramides	57432	LC/MS Pos Late	100015735	2477	510.4881				
CPD000551	ceramide (d18:1/17:0, d17:1/18:0)*	2932	Lipid	Ceramides	57434	LC/MS Pos Late	100015737	3055	552.5351				
CPD000552	ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*	2934	Lipid	Ceramides	57440	LC/MS Pos Late	100015755	3920	594.582				
CPD000553	ceramide (d18:2/24:1, d18:1/24:2)*	2936	Lipid	Ceramides	57443	LC/MS Pos Late	100015744	3858	646.6133				
CPD000554	cerotoylcarnitine (C26)*	1794	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)	57516	LC/MS Pos Late	100015835	1649	540.4986				HMDB06347
CPD000555	cetirizine	5590	Xenobiotics	Drug - Respiratory	54745	LC/MS Pos Late	100009034	1052	389.1627	2678	83881-51-0	C07778	HMDB05032
CPD000556	cholesterol	3076	Lipid	Sterol	63	LC/MS Pos Late	266	2707	369.3516	11025495	57-88-5	C00187	HMDB00067
CPD000557	cis-3,4-methyleneheptanoylcarnitine	1841	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	64389	LC/MS Pos Late	100021728	845	286.2013				
